City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fale old settlement,-9.3852,-171.2468,29.17,71,100,1.97,TK,1715303930
83,talnakh,69.4865,88.3972,-10.44,81,6,1.7,RU,1715303931
84,nejo,9.5,35.5,17.1,37,72,0.99,ET,1715303931
85,astrakhan,46.3497,48.0408,9.93,81,0,1.0,RU,1715303932
86,masterton,-40.9597,175.6575,11.72,52,48,4.2,NZ,1715303932
87,papatowai,-46.5619,169.4708,7.96,83,100,5.95,NZ,1715303933
88,jwaneng,-24.6004,24.7303,14.35,36,0,3.55,BW,1715303933
89,selfoss,63.9331,-20.9971,6.14,62,100,2.76,IS,1715303934
90,vadso,70.0744,29.7487,-0.91,74,100,5.14,NO,1715303935
91,kone,-21.0595,164.8658,27.0,43,12,4.55,NC,1715303935
92,isafjordur,66.0755,-23.124,2.46,78,100,0.5,IS,1715303936
93,chopan,24.5167,83.0333,27.36,52,0,3.12,IN,1715303936
94,mitu,1.1983,-70.1733,23.7,98,100,1.03,CO,1715303880
95,stanley,54.868,-1.6985,11.01,90,0,2.06,GB,1715303937
96,tazovsky,67.4667,78.7,-2.55,89,97,7.54,RU,1715303938
97,hermanus,-34.4187,19.2345,12.93,79,0,4.05,ZA,1715303938
98,port mathurin,-19.6833,63.4167,25.38,72,100,11.43,MU,1715303939
99,chinde,26.8418,88.0763,19.63,60,61,1.23,NP,1715303939
100,hurricane,37.1753,-113.2899,24.19,37,29,8.56,US,1715303940
101,aykhal,66.0,111.5,-7.78,86,100,6.6,RU,1715303942
102,shakawe,-18.3667,21.85,14.16,32,0,2.47,BW,1715303942
103,faya-largeau,17.9257,19.1043,33.91,14,28,4.94,TD,1715303943
104,mount isa,-20.7333,139.5,24.87,65,40,3.6,AU,1715303943
105,harstad,68.799,16.5293,2.86,97,100,8.49,NO,1715303944
106,imbituba,-28.24,-48.6703,17.06,90,100,1.92,BR,1715303944
107,aasiaat,68.7098,-52.8699,-11.14,91,80,1.69,GL,1715303945
108,vorgashor,67.5833,63.95,-2.33,74,100,8.75,RU,1715303945
109,coquimbo,-29.9533,-71.3436,13.85,82,100,2.06,CL,1715303805
110,duong dong,10.2167,103.9667,29.0,84,40,4.12,VN,1715303946
111,kavaratti,10.5669,72.642,29.91,69,100,4.53,IN,1715303947
112,weno,7.4515,151.8468,30.97,79,100,4.12,FM,1715303947
113,east london,-33.0153,27.9116,19.73,87,5,1.94,ZA,1715303948
114,el galpon,-25.3807,-64.6526,11.04,75,99,1.72,AR,1715303948
115,luderitz,-26.6481,15.1594,13.39,85,0,7.34,NA,1715303949
116,punta gorda,26.9298,-82.0454,27.22,88,1,3.58,US,1715303949
117,la'ie,21.6477,-157.9253,25.62,73,50,1.34,US,1715303950
118,mil'kovo,55.6078,37.7956,2.21,66,16,4.32,RU,1715303950
119,el jadid,33.2549,-8.506,19.42,73,100,2.22,MA,1715303951
120,hammerfest,70.6634,23.6821,1.25,86,100,3.09,NO,1715303951
121,qaqortoq,60.7167,-46.0333,1.52,74,100,1.06,GL,1715303952
122,pingshan,22.9938,114.7131,24.51,65,16,2.11,CN,1715303952
123,champerico,14.3,-91.9167,29.71,67,80,3.5,GT,1715303953
124,sirjan,29.452,55.6814,15.09,28,0,1.58,IR,1715303953
125,mbanza kongo,-6.267,14.2401,21.36,100,99,0.92,AO,1715303954
126,kidal,18.4411,1.4078,32.21,7,2,4.85,ML,1715303954
127,hirado,33.3597,129.5531,17.37,67,0,4.11,JP,1715303955
128,runing,33.0011,114.3542,24.44,46,4,7.4,CN,1715303955
129,iskateley,67.6803,53.1512,-1.66,95,100,11.62,RU,1715303956
130,burang,30.25,81.1667,3.01,46,5,0.3,CN,1715303956
131,bilibino,68.0546,166.4372,-0.4,87,100,1.08,RU,1715303957
132,livingstone,-17.8419,25.8543,14.87,42,0,1.28,ZM,1715303957
133,callao,-12.0667,-77.15,21.51,88,75,3.6,PE,1715303958
134,kapa'a,22.0752,-159.319,26.99,74,20,3.6,US,1715303959
135,labytnangi,66.6572,66.4183,-3.12,95,100,11.98,RU,1715303959
136,west island,-12.1568,96.8225,26.99,78,40,8.75,CC,1715303960
137,hotan,37.0997,79.9269,23.34,14,60,2.81,CN,1715303960
138,ventspils,57.3894,21.5606,8.96,93,100,2.57,LV,1715303961
139,crotone,39.0851,17.1178,16.77,91,100,3.34,IT,1715303961
